2014-12-31,320.1929931640625
2015-01-01,314.2489929199219
2015-01-02,315.0320129394531
2015-01-03,281.0820007324219
2015-01-04,264.19500732421875
2015-01-05,274.4739990234375
2015-01-06,286.1889953613281
2015-01-07,294.3370056152344
2015-01-08,283.3489990234375
2015-01-09,290.4079895019531
2015-01-10,274.7959899902344
2015-01-11,265.6600036621094
2015-01-12,267.7959899902344
2015-01-13,225.86099243164062
2015-01-14,178.10299682617188
2015-01-15,209.843994140625
2015-01-16,208.0970001220703
2015-01-17,199.25999450683594
2015-01-18,210.33900451660156
2015-01-19,214.86099243164062
2015-01-20,211.31500244140625
2015-01-21,226.89700317382812
2015-01-22,233.406005859375
2015-01-23,232.87899780273438
2015-01-24,247.8470001220703
2015-01-25,253.71800231933594
2015-01-26,273.4729919433594
2015-01-27,263.4750061035156
2015-01-28,233.9149932861328
2015-01-29,233.51300048828125
2015-01-30,226.4250030517578
2015-01-31,217.46400451660156
2015-02-01,226.9720001220703
2015-02-02,238.22900390625
2015-02-03,227.26800537109375
2015-02-04,226.85299682617188
2015-02-05,217.11099243164062
2015-02-06,222.26600646972656
2015-02-07,227.75399780273438
2015-02-08,223.41200256347656
2015-02-09,220.11000061035156
2015-02-10,219.83900451660156
2015-02-11,219.18499755859375
2015-02-12,221.76400756835938
2015-02-13,235.427001953125
2015-02-14,257.3210144042969
2015-02-15,234.8249969482422
2015-02-16,233.84300231933594
2015-02-17,243.61000061035156
2015-02-18,236.3260040283203
2015-02-19,240.2830047607422
2015-02-20,243.7790069580078
2015-02-21,244.53399658203125
2015-02-22,235.9770050048828
2015-02-23,238.89199829101562
2015-02-24,238.73500061035156
2015-02-25,237.47000122070312
2015-02-26,236.42599487304688
2015-02-27,253.8280029296875
2015-02-28,254.26300048828125
2015-03-01,260.2019958496094
2015-03-02,275.6700134277344
2015-03-03,281.7019958496094
2015-03-04,273.0920104980469
2015-03-05,276.1780090332031
2015-03-06,272.7229919433594
2015-03-07,276.260986328125
2015-03-08,274.35400390625
2015-03-09,289.60699462890625
2015-03-10,291.760009765625
2015-03-11,296.3789978027344
2015-03-12,294.35400390625
2015-03-13,285.3370056152344
2015-03-14,281.885009765625
2015-03-15,286.39300537109375
2015-03-16,290.5929870605469
2015-03-17,285.5050048828125
2015-03-18,256.29901123046875
2015-03-19,260.9280090332031
